"","total.t","total.p","total.r","total.AIC","total.Perc.chg","ISO3"
"ARE",-34.7870986438352,1.09122106385282e-37,0.95362934049081,676.974053575692,-0.928583101814022,"ARE"
"ARG",-21.4368830892305,3.59961247247408e-27,0.887995842752293,653.689112630705,-0.974501443513322,"ARG"
"AUS",-33.9798224993728,3.51746789714582e-37,0.952799962220816,796.895689822994,-0.932410188881116,"AUS"
"AUT",-71.9869150069046,9.33465254226251e-54,0.988916507709191,555.869039227807,-0.973003629764066,"AUT"
"BEL",-64.86172422594,1.98788988157915e-51,0.986448511183952,539.060586073818,-0.937174721189591,"BEL"
"BGR",-33.2740609736363,8.20819616831261e-35,0.953294390480637,364.907116223051,-0.889104030980462,"BGR"
"BIH",-7.24352041933417,1.08115965606688e-07,0.632113077869142,281.359998829084,-0.936691052335397,"BIH"
"BLR",-34.4374482795394,1.80606828726458e-37,0.953483328521744,439.974623174803,-0.875699888017917,"BLR"
"BOL",-10.8204239056961,1.03116894672319e-10,0.859884448886319,247.171063350281,-0.975239352921755,"BOL"
"BRA",-35.0769499399987,7.21177895216577e-38,0.95570117429187,750.099409907142,-0.960540704738761,"BRA"
"BRN",-11.9312738000605,1.70570292024674e-12,0.819709151769546,162.817823413971,-0.811320754716981,"BRN"
"CAN",-66.0165398041813,8.02682751466127e-52,0.986825860300934,673.511592075052,-0.800167947478244,"CAN"
"CHE",-130.493210474543,4.10747114428273e-67,0.996578816587873,530.914004381893,-0.95786545270612,"CHE"
"CHN",8.29150385918766,4.41956284174827e-11,0.525217311167987,755.377123630563,0.460351504319333,"CHN"
"COL",3.6942604610629,0.00113649064586162,0.198316282987202,247.795624291689,6.99999999999998,"COL"
"CZE",-67.9140186603722,1.42700604599992e-48,0.988574450067369,403.630628523243,-0.98019156307316,"CZE"
"DEU",-64.1991837211241,3.36862406089151e-51,0.986096723521727,793.243941891209,-0.916955170392329,"DEU"
"DNK",-30.2513616403001,3.03255604104252e-34,0.941603368770064,570.829164165225,-0.944985188319932,"DNK"
"DZA",-10.4110818092434,8.38375243381164e-12,0.743568699821016,383.153108358771,-0.972135263304715,"DZA"
"ESP",-65.4565618693473,1.24358728515733e-51,0.986553044760438,639.73069915925,-0.978279828896549,"ESP"
"EST",-21.2046564516513,2.68902208634781e-22,0.925514873681045,267.191695639758,-0.894026974951831,"EST"
"FIN",-51.908309886964,1.79380812904995e-46,0.97910778119177,526.037802821199,-0.885434516523868,"FIN"
"FRA",-118.229471185194,6.83985912613933e-65,0.995834790018296,674.127931446419,-0.96917016356941,"FRA"
"GBR",-97.4569299155519,1.51065406839274e-60,0.993894216725113,718.616645027656,-0.95049783428025,"GBR"
"GRC",-37.4695513234902,3.37976816297327e-37,0.963034037065609,464.625857984574,-0.957877508829357,"GRC"
"HRV",-56.543745692106,2.26537089075358e-48,0.981964760220354,354.569902045246,-0.942971485742872,"HRV"
"HUN",-61.4964295048319,1.17043268118924e-39,0.989331528590255,344.539521960907,-0.980046115643846,"HUN"
"IDN",-27.6099569401201,6.23363689446783e-32,0.930438628972091,629.903049312187,-0.810441963634849,"IDN"
"IND",-165.427641147053,1.85899824316456e-72,0.997864493108627,674.147436123762,-0.995525951991956,"IND"
"IRL",-36.3731974698779,1.17501981741627e-38,0.957849836617525,595.197792725464,-0.949213011542497,"IRL"
"ISL",-34.5534824046041,1.48337697351555e-34,0.959366391439205,364.967909421448,-0.891615054787995,"ISL"
"ITA",-158.362983016274,1.79056871129315e-71,0.997675090722215,613.596490564102,-0.967983262537247,"ITA"
"JPN",-13.3310873348948,2.09064664515635e-18,0.744981758107787,722.267659177749,-0.696219226260258,"JPN"
"KAZ",-36.9618824935385,4.87593327359175e-29,0.976792036118176,323.909072186051,-0.970561594202904,"KAZ"
"KOR",-30.885658909963,4.0025083768699e-35,0.941606306669052,495.514115513447,-0.596343430722352,"KOR"
"LKA",-17.1165170946251,1.1478749581016e-17,0.894781987913177,218.766739201475,-0.902173913043484,"LKA"
"LTU",-5.33380016175416,2.04586113801214e-05,0.63533984095873,221.331820527049,-0.922928709055876,"LTU"
"LUX",-37.5986067708991,4.36175797642068e-35,0.967886976318094,357.688552378025,-0.952264100302902,"LUX"
"LVA",-33.3468798082641,4.39529625610555e-24,0.975708259965938,239.830610946739,-0.965585054080636,"LVA"
"MAR",-12.0650733560613,3.71775781367664e-12,0.833375242832715,273.316981674968,-0.974215728405672,"MAR"
"MEX",-50.0005251805765,1.21090707547601e-45,0.977045343771792,579.52019514694,-0.793584685079644,"MEX"
"MYS",-105.848700668404,2.10364384738636e-62,0.994809114394199,620.445670874446,-0.975885115606936,"MYS"
"NLD",-79.6990129850121,4.9206948157804e-56,0.99092370645013,608.386511023972,-0.908664720154625,"NLD"
"NOR",-15.1050985885925,1.16945800975653e-20,0.810095170681901,757.159512106,-0.750731299623903,"NOR"
"NZL",-15.0530020031838,5.97554152089954e-15,0.87121788742767,263.114191563053,-0.955277280858676,"NZL"
"PAK",-14.7765372077821,1.29843237421421e-16,0.844955687243843,360.420868550504,-0.96340223652999,"PAK"
"PER",-11.7063117580001,3.42395850314702e-16,0.694676919514708,413.081144586248,-0.7045203969129,"PER"
"PHL",-94.5846895667947,4.7221875240305e-58,0.993702781318796,439.542577885259,-0.976871559112321,"PHL"
"POL",-53.4401109313043,4.31023130728135e-32,0.988213789226652,343.592817078072,-0.991499589635361,"POL"
"PRT",-20.8081004306688,2.34758137719131e-25,0.8891570995149,581.726466144862,-0.970074035589037,"PRT"
"ROU",-55.8645905190424,1.23884529817227e-44,0.983654917670795,405.960234585586,-0.945617667356798,"ROU"
"RUS",-67.8897057124422,1.9045698588838e-52,0.987441463474566,736.444859364302,-0.841911311212533,"RUS"
"SAU",-79.2660643447853,6.51710031238265e-56,0.990783765597644,582.108952713585,-0.983493196520187,"SAU"
"SEN",-22.2045076263734,3.16513078900203e-27,0.903035295835421,278.887583025266,-0.80516975308642,"SEN"
"SRB",-19.5091517261556,9.94695779688971e-21,0.908478042758534,378.520012361952,-0.964755639097745,"SRB"
"SVK",-14.9161236788519,2.93834557761939e-14,0.925518500260768,154.692687526187,-0.882995319812792,"SVK"
"SVN",-5.84842856142394,5.84052723142206e-06,0.731590880588247,138.123668965053,-0.817813765182186,"SVN"
"SWE",-28.3151996125993,2.8606030845493e-33,0.933201068237937,693.117170068054,-0.931085216572505,"SWE"
"THA",-18.1470469829316,3.75943045759302e-24,0.846213141222064,801.075247508578,-0.964760432766615,"THA"
"TUR",-63.5951616058977,1.7518890157842e-46,0.987778868746264,556.927757056558,-0.987842090206922,"TUR"
"TWN",-17.3074549253789,3.13119966505701e-23,0.834163475462497,497.153441704913,-0.654570830425681,"TWN"
"UKR",-30.8736704142971,6.33188096269358e-26,0.966819450939883,338.631073140609,-0.985367500844182,"UKR"
"URY",-4.92192795178695,4.12934122663522e-05,0.459020671994801,209.341675487716,-0.85,"URY"
"USA",-36.9395250951436,5.41869280688263e-39,0.959556279843036,1075.53529550545,-0.556032625817232,"USA"
"ZAF",-15.9633170029466,1.31427198688857e-20,0.828332613014862,455.708217173806,-0.915695067264574,"ZAF"
